Year,Nominal,Inflation
1994,0.04,0.03
1995,0.05,0.025
1996,0.06,0.02
1997,0.045,0.018
1998,0.055,0.021
1999,0.07,0.025
2000,0.08,0.03
2001,0.06,0.028
2002,0.05,0.022
2003,0.045,0.021
2004,0.055,0.018
2005,0.06,0.02
2006,0.065,0.025
2007,0.07,0.03
2008,0.02,0.04
2009,-0.03,0.015
2010,0.045,0.02
2011,0.05,0.025
2012,0.04,0.018
2013,0.05,0.019
2014,0.06,0.017
2015,0.03,0.01
2016,0.025,0.012
2017,0.035,0.015
2018,0.04,0.018
2019,0.045,0.02
2020,0.05,0.02
2021,0.03,0.01
2022,0.04,0.025
2023,0.06,0.03
