Year,Nominal %,Inflation %,Real %,Accumulated %
1994,4.00,3.00,0.97,0.97
1995,5.00,2.50,2.44,3.43
1996,6.00,2.00,3.92,7.49
1997,4.50,1.80,2.65,10.34
1998,5.50,2.10,3.33,14.02
1999,7.00,2.50,4.39,19.02
2000,8.00,3.00,4.85,24.80
2001,6.00,2.80,3.11,28.68
2002,5.00,2.20,2.74,32.21
2003,4.50,2.10,2.35,35.32
2004,5.50,1.80,3.63,40.23
2005,6.00,2.00,3.92,45.73
2006,6.50,2.50,3.90,51.42
2007,7.00,3.00,3.88,57.30
2008,2.00,4.00,-1.92,54.28
2009,-3.00,1.50,-4.43,47.44
2010,4.50,2.00,2.45,51.05
2011,5.00,2.50,2.44,54.73
2012,4.00,1.80,2.16,58.08
2013,5.00,1.90,3.04,62.89
2014,6.00,1.70,4.23,69.77
2015,3.00,1.00,1.98,73.14
2016,2.50,1.20,1.28,75.36
2017,3.50,1.50,1.97,78.82
2018,4.00,1.80,2.16,82.68
2019,4.50,2.00,2.45,87.16
2020,5.00,2.00,2.94,92.66
2021,3.00,1.00,1.98,96.48
2022,4.00,2.50,1.46,99.35
2023,6.00,3.00,2.91,105.16
