Year,AssetClass,Rating,Exposure,RiskWeight,RWA,CapitalRequirement
2021,corporate,AA,1000000,0.25,250000.00,20000.00
2021,corporate,BB,500000,0.75,375000.00,30000.00
2021,mortgage,A,750000,0.50,375000.00,30000.00
2021,sovereign,AAA,2000000,0.00,0.00,0.00
2021,retail,B,300000,0.75,225000.00,18000.00
2021,securitization,BBB,600000,1.00,600000.00,48000.00
2022,corporate,A,800000,0.30,240000.00,19200.00
2022,retail,A,250000,0.75,187500.00,15000.00
2022,sovereign,BBB,1000000,0.50,500000.00,40000.00
2022,mortgage,BB,400000,1.00,400000.00,32000.00
2022,securitization,A,700000,1.00,700000.00,56000.00
2023,corporate,CCC,450000,1.50,675000.00,54000.00
2023,mortgage,AA,900000,0.50,450000.00,36000.00
2023,sovereign,BB,300000,1.00,300000.00,24000.00
2023,retail,D,200000,1.50,300000.00,24000.00
2023,securitization,D,500000,1.50,750000.00,60000.00
2023,corporate,AAA,1200000,0.20,240000.00,19200.00
2023,mortgage,D,300000,1.50,450000.00,36000.00
2023,sovereign,D,150000,1.50,225000.00,18000.00
2023,retail,B,180000,0.75,135000.00,10800.00
2023,securitization,AAA,1000000,0.20,200000.00,16000.00
