Year,AssetClass,Rating,ExposureAmount,Country
2021,corporate,AA,1000000,DE
2021,corporate,BB,500000,DE
2021,mortgage,A,750000,AT
2021,sovereign,AAA,2000000,FR
2021,retail,B,300000,IT
2021,securitization,BBB,600000,US
2022,corporate,A,800000,DE
2022,retail,A,250000,NL
2022,sovereign,BBB,1000000,FR
2022,mortgage,BB,400000,AT
2022,securitization,A,700000,US
2023,corporate,CCC,450000,DE
2023,mortgage,AA,900000,AT
2023,sovereign,BB,300000,FR
2023,retail,D,200000,IT
2023,securitization,D,500000,US
2023,corporate,AAA,1200000,DE
2023,mortgage,D,300000,AT
2023,sovereign,D,150000,FR
2023,retail,B,180000,IT
2023,securitization,AAA,1000000,US
